surgery,age,rectal_temperature,pulse,respiratory_rate,temperature_of_extremities,pain,outcome
2,1,38.0,89,30,3,5,2
1,1,38.1,88,32,3,2,3
2,1,37.7,44,40,2,1,1
2,1,39.6,108,51,3,2,1
1,1,38.2,40,16,3,1,1
1,1,38.0,60,20,4,5,3
2,1,38.3,40,16,3,2,1
1,2,38.0,140,68,1,3,1
1,1,37.8,52,24,1,4,2
1,1,38.349999999999994,70,36,1,2,1
2,1,37.3,50,32,1,1,1
1,1,38.7,60,32,4,4,3
1,2,38.4,84,40,3,3,2
1,1,38.349999999999994,70,16,3,2,2
1,1,38.3,40,16,3,1,1
1,1,38.2,40,20,2,1,1
1,1,38.4,44,24,3,5,1
2,1,38.2,60,40,3,3,1
1,1,38.0,44,12,1,3,1
2,1,39.5,60,24,3,3,3
1,1,36.5,78,30,1,5,1
2,1,38.1,56,20,2,1,1
1,1,39.4,54,66,1,2,1
2,1,38.7,40,28,2,3,1
1,1,38.2,64,24,1,4,2
2,1,37.6,48,20,3,1,3
1,1,38.0,42,68,4,3,1
1,1,38.7,89,30,3,5,1
1,1,37.4,50,32,3,4,1
2,1,37.6,88,36,3,3,2
2,1,37.9,40,24,1,2,1
1,1,38.0,100,30,3,5,2
1,2,38.1,136,48,3,5,2
1,1,38.0,89,30,3,5,2
1,1,38.0,48,20,1,1,1
2,1,38.0,56,20,1,1,1
2,1,38.0,60,32,1,3,1
1,1,38.1,44,9,3,2,1
1,1,38.0,120,30,4,5,2
1,1,37.8,48,28,1,1,1
1,1,37.1,84,40,3,2,3
2,1,38.349999999999994,80,32,3,2,1
1,1,38.2,48,24,1,3,1
2,1,38.0,44,12,2,3,2
2,1,38.9,44,14,3,2,1
1,1,39.3,80,30,4,4,2
2,1,38.6,48,20,3,1,1
2,1,38.8,48,40,1,3,1
2,1,38.0,48,20,3,1,1
2,1,38.6,52,20,1,3,1
2,1,38.0,42,40,3,3,1
2,1,38.349999999999994,72,12,1,2,1
2,1,39.5,60,10,3,3,1
1,1,38.0,66,20,1,5,3
1,1,38.7,76,24,1,3,1
1,1,38.3,40,18,1,3,1
2,1,38.2,44,24,1,3,1
1,1,38.4,104,40,1,2,1
2,1,39.0,86,16,3,3,2
1,1,38.5,129,48,3,2,1
1,1,38.349999999999994,104,32,3,2,2
2,1,38.05,80,30,3,4,2
1,1,38.2,60,30,1,3,1
1,1,38.0,60,30,3,5,1
2,1,38.5,100,30,3,4,3
1,1,38.4,84,30,3,4,2
1,1,38.0,89,24,3,5,2
2,1,37.8,56,16,1,2,1
2,1,38.2,68,32,2,1,1
1,1,38.4,80,30,4,3,1
1,1,38.3,60,16,3,2,1
2,2,38.8,100,44,2,4,1
1,1,38.2,48,18,1,3,1
1,1,38.05,60,48,3,4,2
2,1,37.9,88,24,1,2,1
2,1,38.5,60,20,1,2,3
2,1,38.5,96,36,3,2,2
2,1,38.3,60,20,1,1,1
2,1,38.5,60,40,3,2,1
1,1,37.3,48,12,1,3,1
1,1,38.5,86,30,1,4,2
2,1,37.2,36,9,1,2,1
1,1,39.2,80,23,3,4,1
2,1,38.5,100,30,3,4,3
1,1,38.5,96,30,2,4,1
2,1,37.5,44,10,3,3,1
1,1,38.0,86,24,4,2,2
1,2,38.9,120,30,1,3,1
2,1,38.6,56,32,2,1,1
1,1,37.8,40,12,1,1,1
1,1,38.1,40,36,1,2,3
1,1,38.2,52,28,3,3,1
1,1,39.2,88,58,4,5,3
1,1,38.5,92,40,4,2,1
1,1,38.349999999999994,112,13,4,2,1
1,1,37.7,66,12,1,3,1
1,1,38.8,50,14,1,3,1
2,1,38.4,54,24,1,1,1
1,1,39.2,120,20,4,2,2
1,1,37.3,90,40,3,5,3
1,1,38.5,104,40,3,4,1
2,1,39.5,92,28,3,5,2
1,1,38.3,72,30,4,3,1
1,1,38.1,52,24,1,4,2
2,1,38.2,42,26,1,3,1
2,1,37.9,54,42,2,3,1
2,1,36.1,88,24,3,3,3
1,1,38.0,90,30,4,5,2
1,1,38.2,52,16,1,1,1
1,1,38.0,36,32,1,5,2
1,2,38.2,124,88,1,2,1
2,1,38.0,96,30,3,5,2
1,1,37.6,68,32,3,4,1
1,1,38.1,88,24,3,5,2
1,1,38.0,108,60,2,4,1
2,1,38.2,48,24,2,3,1
1,1,39.3,100,51,4,2,3
2,1,36.6,42,18,3,1,2
1,2,38.8,124,36,3,2,2
2,1,38.0,112,24,3,5,1
1,1,38.05,80,30,3,4,1
1,2,38.8,184,84,1,4,2
1,1,37.5,72,32,2,2,3
2,1,37.5,52,12,1,2,1
1,1,40.8,72,42,3,2,2
2,1,38.4,48,16,2,1,1
1,1,38.3,44,21,3,3,1
2,1,38.2,56,68,3,3,3
2,1,38.6,68,20,2,3,1
2,1,38.3,54,18,3,2,1
1,1,37.5,60,50,3,3,2
1,1,37.7,80,30,3,5,1
1,1,38.0,100,30,3,5,1
1,1,37.7,120,28,3,5,2
1,2,38.8,150,50,1,5,2
1,1,38.0,36,16,3,4,3
2,1,36.9,50,40,2,1,1
2,1,37.8,40,16,1,1,1
2,1,38.2,56,40,4,2,1
2,1,40.0,78,32,3,2,2
1,1,38.349999999999994,70,16,3,2,2
2,1,38.5,54,24,1,3,1
1,1,38.5,66,24,1,3,1
2,1,37.8,82,12,3,4,3
2,1,38.6,45,16,2,1,1
1,1,38.9,80,44,3,2,2
1,1,37.0,66,20,1,4,2
2,1,38.5,40,16,1,2,1
1,1,38.349999999999994,120,70,4,2,3
2,1,37.2,72,24,3,4,3
1,1,37.5,72,30,4,4,2
1,1,36.5,100,24,3,3,1
